England_NW_and_N_Wales Rainfall (mm)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from January 2018 and Winter 2018.  Last updated 05/11/2019.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1939  189.4  128.8   89.8   67.2   30.9   87.7  196.0   73.6   40.9   80.0  205.4   89.2   451.7  187.9  357.3  326.3  1278.9
1940   81.2   78.2  110.7   75.1   51.5   29.9  136.1   44.0  113.0  142.9  203.6  120.9   248.6  237.3  210.1  459.5  1187.2
1941   63.1  128.4   95.3   47.9   79.3   21.7   57.3  150.6   34.6  152.1   86.9   74.2   312.4  222.4  229.6  273.7   991.5
1942  148.3   53.1   89.0   63.0  109.8   20.9  114.4  125.5  114.3  144.7   31.8  156.8   275.6  261.8  260.9  290.9  1171.8
1943  182.3   94.3   40.8   65.2  109.3  103.9   93.7  163.2  145.4  148.9   99.0   66.2   433.4  215.2  360.8  393.2  1312.1
1944  158.6   61.7   22.9   68.4   72.5   89.9   94.6   95.2  158.8  152.7  216.3  122.1   286.6  163.9  279.7  527.9  1313.9
1945  109.1  143.5   61.2   69.1  109.4  111.5   79.1   70.5   96.8  157.1   13.5  103.3   374.7  239.7  261.2  267.4  1124.2
1946  159.1  150.1   50.8   40.4   53.5  111.4  110.5  166.5  184.4   30.9  198.4  147.3   412.5  144.7  388.4  413.8  1403.4
1947  120.6   36.5  186.7  131.5   89.7   80.5  102.2   10.8   94.4   23.2  174.4   95.0   304.4  408.0  193.4  291.9  1145.4
1948  261.7   93.7   74.8   63.7   46.9  151.8   74.0  150.0  123.5   94.3  101.4  142.0   450.4  185.4  375.8  319.3  1377.9
1949   91.6   79.0   66.2  121.1   82.8   24.7   71.3   80.1   44.0  172.2  169.8  192.9   312.6  270.0  176.2  385.9  1195.7
1950   69.1  178.8   71.2  108.3   42.1   70.2  106.0  193.9  237.7  107.0  149.8   94.5   440.8  221.7  370.0  494.6  1428.6
1951  123.2  122.4  149.8   79.7   69.8   36.3   74.3  148.9  132.4   33.9  245.0  225.5   340.1  299.3  259.5  411.3  1441.3
1952  137.1   42.9   71.6   82.3   71.5   85.1   61.9  125.1  112.6  141.8   87.6  129.6   405.6  225.3  272.2  342.0  1149.2
1953   55.9   69.2   46.6   95.6   68.7   67.2  147.7  130.2  150.4   65.1  162.4   63.4   254.7  210.9  345.2  377.9  1122.4
1954  112.2  105.8   93.4   36.6   93.9  120.1  143.4  154.9  168.7  263.7  235.4  161.1   281.5  223.9  418.5  667.8  1689.3
1955   95.4   67.8   59.5   73.2  111.0  114.9   41.5   49.4   85.0   82.8   61.4  160.5   324.4  243.7  205.8  229.2  1002.5
1956  129.5   25.1   52.7   50.5   50.5   71.2  152.6  260.9  110.6   97.1   55.1  139.3   315.1  153.7  484.7  262.9  1195.1
1957  141.9  104.9  106.8   20.1   65.8   55.6  155.9  163.5  197.0  156.8   59.5  123.5   386.0  192.7  374.9  413.3  1351.1
1958  124.6  192.0   42.9   40.1  113.6  119.0  121.0  121.3  178.3  123.8   65.3  110.9   440.2  196.6  361.3  367.4  1352.8
1959  112.8   31.3   69.9  106.1   45.5   88.7  105.2   26.6   20.1  139.7  168.3  222.3   255.0  221.5  220.5  328.1  1136.5
1960  187.8  121.0   48.8   79.7   57.8   54.5  145.7  127.0  117.6  119.0  233.2  142.8   531.1  186.3  327.2  469.8  1434.9
1961  148.6  101.8   38.0  109.0   59.6   55.4  112.3  140.4  107.1  170.9   95.1  108.4   393.2  206.6  308.1  373.0  1246.5
1962  167.2   83.8   49.9  106.5   89.7   52.8   61.1  171.9  134.9   65.6   75.4  109.0   359.5  246.1  285.8  275.9  1167.9
1963   25.8   22.1  133.8  103.1   82.2  114.3   66.7  117.9  114.8  101.8  198.0   34.4   156.9  319.1  298.9  414.5  1114.9
1964   46.9   28.9   75.3   74.5   90.9   66.2   96.0   96.6   72.1  103.8   95.6  211.8   110.2  240.6  258.9  271.5  1058.5
1965  155.7   18.1   74.5   86.7   86.9  105.4  105.9   98.2  167.0   76.5  104.2  228.5   385.6  248.1  309.5  347.8  1307.8
1966   65.3  145.6   78.1   99.0   99.1  119.6   88.4  105.6  104.4  122.3  120.9  178.4   439.5  276.2  313.6  347.6  1326.7
1967   78.0  126.5   73.1   47.8  162.4   62.2  114.9  116.9  156.4  280.9   98.2  113.0   382.9  283.3  294.1  535.5  1430.4
1968  140.4   50.5  128.9   71.4   95.6   84.5   97.9   66.7  193.2  154.8   75.0   72.9   303.9  296.0  249.1  423.0  1231.9
1969  115.6   80.7   66.9   82.8  129.5   82.1   45.1   85.5   67.2   46.4  197.5  120.5   269.2  279.1  212.7  311.2  1119.7
1970  111.1  119.5   88.4  141.4   23.9   63.3   98.2  109.8  109.2  151.7  199.1   59.4   351.1  253.7  271.3  460.0  1275.0
1971   96.4   78.1   78.7   53.0   54.0   91.4   68.7  147.4   43.5  114.2  128.6   44.5   233.9  185.8  307.5  286.3   998.6
1972  119.6   72.7  102.8  109.7   98.6  121.1   93.5   56.4   36.1   45.5  179.6  132.2   236.8  311.1  271.0  261.3  1167.8
1973   76.1   73.6   51.3   82.4   90.9   37.4  114.2  121.6   97.2   87.3  102.2  124.0   281.8  224.6  273.2  286.6  1058.0
1974  190.6  126.9   63.7    9.7   53.8   70.3  135.7   87.2  188.5  105.2  161.0  155.5   441.5  127.2  293.2  454.7  1348.1
1975  202.4   37.2   60.8   94.6   38.1   30.9  107.4   76.1  142.2   60.7  104.2   84.4   395.1  193.4  214.3  307.1  1038.9
1976  132.4   68.8   74.2   44.3  104.4   31.6   46.7   13.2  181.4  163.6  103.1   85.9   285.7  223.0   91.6  448.1  1049.7
1977  107.3  163.7   88.9   92.2   46.2  111.8   45.9   80.4   98.6  140.6  170.6  119.3   356.8  227.3  238.1  409.8  1265.4
1978  138.0   84.9  125.1   42.6   32.0   80.3   92.5  112.1  125.7   49.0  147.7  157.1   342.2  199.7  284.9  322.4  1187.0
1979   95.6   42.4  151.9   77.4  132.4   43.6   44.4  124.5   89.1  100.3  165.4  227.9   295.1  361.8  212.5  354.8  1294.9
1980  111.7  130.2  116.3    8.3   35.0  142.9   69.5  129.1  101.9  200.8  161.8  164.8   469.9  159.6  341.5  464.5  1372.4
1981  113.8   77.5  218.3   49.5   90.9   80.7   73.0   57.2  186.3  206.0  149.4   79.6   356.1  358.7  210.9  541.8  1382.2
1982  121.5   79.8  139.9   27.7   55.3  116.9   42.4  136.7  107.7  131.7  198.5  168.4   280.9  222.9  296.0  438.0  1326.6
1983  182.6   48.0  120.6   95.3  119.3   55.1   40.6   57.1  143.3  164.8   59.7  172.2   399.0  335.2  152.8  367.9  1258.7
1984  182.8   77.9   53.2   17.0   36.4   62.3   29.9   76.3  163.1  157.7  191.9  111.3   433.0  106.7  168.5  512.8  1160.0
1985   70.7   30.3   82.5  103.7   71.8   95.2  107.9  184.2  100.6   74.8  117.0  173.3   212.3  258.0  387.2  292.4  1212.0
1986  158.7    8.9  125.4   94.4  109.4   56.7   80.6  125.9   18.5  149.1  180.8  241.4   340.9  329.2  263.3  348.4  1349.8
1987   44.7   81.4  139.6   64.5   55.3  130.4  109.9  102.3  114.7  202.9   99.0  119.9   367.4  259.4  342.6  416.6  1264.5
1988  195.1   90.3  153.4   56.4   68.1   35.9  173.3  137.4  114.9  120.2   70.3  109.2   405.2  277.9  346.7  305.4  1324.4
1989   77.0  142.5  151.9   92.1   35.4   80.2   35.2  108.3   35.7  150.8   94.0  133.3   328.7  279.4  223.8  280.5  1136.6
1990  211.3  198.1   42.8   55.9   42.6   95.1   55.1   70.7   86.7  168.2   92.1  162.2   542.7  141.3  221.0  347.0  1280.8
1991  104.0   91.5  108.5   91.5   19.4  101.6   73.3   64.1   68.2  129.1  159.6  106.6   357.6  219.4  239.1  356.8  1117.4
1992   62.0   93.3  143.9   93.0   71.0   50.5   79.5  162.0  110.4  122.4  180.1  123.4   261.9  307.9  292.0  412.9  1291.5
1993  163.9   20.2   37.6  113.4  135.1   69.1  104.6   83.1   93.0   53.8   75.1  258.5   307.4  286.1  256.8  221.9  1207.4
1994  158.8   87.4  172.1  113.3   40.2   64.6   64.6   94.6  119.9  119.7  130.6  221.6   504.6  325.5  223.7  370.2  1387.1
1995  209.9  171.0   99.7   32.4   67.8   35.9   73.3   17.6  104.8   98.5   82.2   55.5   602.5  200.0  126.7  285.5  1048.5
1996   57.0  112.7   46.1   77.9   74.1   47.1   58.3   91.2   58.9  157.3  156.8   61.8   225.1  198.1  196.5  373.0   999.2
1997   12.0  208.8   67.7   39.8  104.5  114.9   74.4   75.5   79.4   74.2  121.9  153.1   282.7  212.0  264.8  275.5  1126.3
1998  154.3   60.7  154.4  112.3   40.7  157.7  100.7  100.7  103.8  228.9  127.0  113.4   368.1  307.3  359.1  459.7  1454.5
1999  198.3   87.0  102.9   93.5   87.2   94.3   40.0   97.3  151.4  117.7  106.2  230.7   398.6  283.6  231.5  375.3  1406.4
2000  129.9  148.8   76.1  104.4   79.1   93.6   82.3  104.3  156.6  253.9  248.4  173.2   509.4  259.6  280.3  658.8  1650.7
2001   77.9  118.0   69.2  127.2   56.4   54.8   76.7  115.0  121.3  165.1  115.4   78.5   369.1  252.7  246.5  401.8  1175.3
2002  144.1  242.0   63.5   88.7  113.4   94.7   90.8   98.7   47.0  171.8  170.7  139.5   464.7  265.6  284.2  389.5  1465.0
2003  101.8   55.6   71.3   66.8  133.3   76.0  102.1   22.1   90.5   73.4  133.2  147.1   296.9  271.4  200.2  297.2  1073.3
2004  173.7  102.3   73.6   72.2   52.6   85.8   83.0  198.9  143.4  193.2   90.5  133.2   423.1  198.4  367.7  427.0  1402.3
2005  137.4   74.9   63.4  115.6   73.7   67.1   62.5   83.1  104.8  183.4  150.9   90.1   345.5  252.6  212.8  439.1  1206.9
2006   70.3   76.7  159.7   79.6  133.4   40.8   45.9  123.7   99.7  167.5  160.9  237.8   237.0  372.7  210.4  428.1  1396.0
2007  182.8   98.8   81.4   32.7  102.7  172.4  175.5   78.5  102.4   61.9   98.1  170.7   519.5  216.8  426.5  262.3  1357.9
2008  235.0   80.8  125.0   84.7   34.9  109.2  130.6  152.8  147.4  246.0  102.3  100.5   486.6  244.6  392.6  495.7  1549.3
2009  138.1   27.3   69.3   57.4   99.7   63.7  180.1  125.7   59.1  106.6  306.6  124.1   265.9  226.4  369.5  472.3  1357.7
2010   76.5   57.2   82.8   34.6   38.1   40.2  165.9   82.9  154.1  110.9  139.1   45.0   257.8  155.4  289.0  404.0  1027.1
2011  125.8  154.4   42.8   40.6  114.4   84.2   93.2  115.1  136.7  130.2   86.0  210.3   325.1  197.8  292.5  352.9  1333.7
2012  125.4   69.5   31.7  128.1   77.6  205.4  142.1  141.4  178.1  141.5  160.7  223.6   405.2  237.5  488.9  480.3  1625.2
2013  109.8   64.2   66.7   54.7   98.3   61.5   94.2  100.5   78.7  185.3   96.4  188.6   397.6  219.6  256.2  360.4  1198.8
2014  205.0  188.0   90.0   56.7  115.6   45.7   69.3  140.2   16.5  172.7  103.1  168.0   581.5  262.4  255.2  292.2  1370.8
2015  167.4   77.7  109.2   49.4  142.4   49.8  109.8   99.6   53.0   68.4  261.8  343.4   413.1  301.0  259.2  383.2  1531.8
2016  203.0  142.6   83.8  100.5   54.1  126.2  107.1  122.1  111.2   41.3  122.2   80.4   689.0  238.3  355.5  274.7  1294.6
2017   74.2  111.9  150.0   26.0   61.0  136.6  121.7  115.6  170.4  147.2  148.3  144.2   266.5  237.0  373.8  465.8  1407.0
2018  155.4   76.2   92.0  100.8   48.5   33.8   59.9   94.5  141.2  117.0  117.2  160.9   375.7  241.3  188.2  375.4  1197.3
2019   74.5   83.0  192.3   77.3   55.6  140.0  108.5  157.5  179.6  148.3                 318.4  325.2  406.1
